CODE	MUNICIPALITY	Mesoregion	Number of Mesoregion	Microregion	Number of Microregion	Planning Region	Number of Planning Region
312050	Cristina	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
312080	Cruzília	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
312110	Delfim Moreira	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
312120	Delfinópolis	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
312240	Divisa Nova	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
312280	Dom Viçoso	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
312360	Elói Mendes	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
312440	Espírito Santo do Dourado	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
312450	Estiva	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
312510	Extrema	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
312520	Fama	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
312630	Fortaleza de Minas	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
312740	Gonçalves	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
312810	Guapé	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
312830	Guaranésia	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
312870	Guaxupé	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
312920	Heliodora	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
312970	Ibiraci	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
312990	Ibitiúra de Minas	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
313040	Ijaci	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313050	Ilicínea	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
313060	Inconfidentes	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
313080	Ingaí	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313150	Ipuiúna	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
313240	Itajubá	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
313290	Itamogi	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
313300	Itamonte	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
313310	Itanhandu	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
313360	Itapeva	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
313375	Itaú de Minas	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
313430	Itumirim	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313450	Itutinga	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313480	Jacuí	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
313490	Jacutinga	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
313590	Jesuânia	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
313690	Juruaia	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
313780	Lambari	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
313820	Lavras	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313850	Liberdade	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
313870	Luminárias	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
313900	Machado	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
313990	Maria da Fé	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
314040	Marmelópolis	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
314190	Minduri	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
314260	Monsenhor Paulo	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
314300	Monte Belo	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
314320	Monte Santo de Minas	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
314340	Monte Sião	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
314380	Munhoz	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
314410	Muzambinho	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
314440	Natércia	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
314460	Nepomuceno	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
314510	Nova Resende	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
314550	Olímpio Noronha	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
314600	Ouro Fino	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
314720	Paraguaçu	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
314730	Paraisópolis	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
314760	Passa Quatro	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
314780	Passa-Vinte	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
314790	Passos	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
314910	Pedralva	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
315090	Piranguçu	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
315100	Piranguinho	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
315170	Poço Fundo	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
315180	Poços de Caldas	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
315250	Pouso Alegre	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
315260	Pouso Alto	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
315290	Pratápolis	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
315470	Ribeirão Vermelho	Campo das Vertentes	11	Lavras	57	Sul de Minas	9
315920	Santa Rita de Caldas	Sul/Sudoeste de Minas	10	Poços de Caldas	51	Sul de Minas	9
315960	Santa Rita do Sapucaí	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
315830	Santana da Vargem	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
316080	São Bento Abade	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
316200	São Gonçalo do Sapucaí	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
316220	São João Batista do Glória	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
316230	São João da Mata	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
316294	São José da Barra	Sul/Sudoeste de Minas	10	Passos	47	Sul de Minas	9
316320	São José do Alegre	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
316370	São Lourenço	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
316390	São Pedro da União	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
316440	São Sebastião da Bela Vista	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
316470	São Sebastião do Paraíso	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
316490	São Sebastião do Rio Verde	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
316520	São Thomé das Letras	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
316510	São Tomás de Aquino	Sul/Sudoeste de Minas	10	São Sebastião do Paraíso	48	Sul de Minas	9
316530	São Vicente de Minas	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
316540	Sapucaí-Mirim	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
316557	Senador Amaral	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
316580	Senador José Bento	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
316640	Seritinga	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
316690	Serrania	Sul/Sudoeste de Minas	10	Alfenas	49	Sul de Minas	9
316700	Serranos	Sul/Sudoeste de Minas	10	Andrelândia	55	Sul de Minas	9
316740	Silvianópolis	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
316780	Soledade de Minas	Sul/Sudoeste de Minas	10	São Lourenço	54	Sul de Minas	9
316905	Tocos do Moji	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
316910	Toledo	Sul/Sudoeste de Minas	10	Pouso Alegre	52	Sul de Minas	9
316930	Três Corações	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
316940	Três Pontas	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
316980	Turvolândia	Sul/Sudoeste de Minas	10	Santa Rita do Sapucaí	53	Sul de Minas	9
317070	Varginha	Sul/Sudoeste de Minas	10	Varginha	50	Sul de Minas	9
317170	Virgínia	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
317220	Wenceslau Braz	Sul/Sudoeste de Minas	10	Itajubá	56	Sul de Minas	9
310070	Água Comprida	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
310350	Araguari	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
310375	Araporã	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
310980	Cachoeira Dourada	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
311110	Campina Verde	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
311140	Campo Florido	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
311180	Canápolis	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
311260	Capinópolis	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
311455	Carneirinho	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
311500	Cascalho Rico	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
311580	Centralina	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
311690	Comendador Gomes	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
311730	Conceição das Alagoas	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
311820	Conquista	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
312125	Delta	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
312700	Fronteira	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
312710	Frutal	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
312910	Gurinhatã	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
313070	Indianópolis	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
313140	Ipiaçu	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
313340	Itapagipe	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
313420	Ituiutaba	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
313440	Iturama	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
313862	Limeira do Oeste	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
314280	Monte Alegre de Minas	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
315070	Pirajuba	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
315160	Planura	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
315280	Prata	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
315980	Santa Vitória	Triângulo Mineiro/Alto Paranaíba	5	Ituiutaba	17	Triângulo	10
316130	São Francisco de Sales	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
316960	Tupaciguara	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
317010	Uberaba	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
317020	Uberlândia	Triângulo Mineiro/Alto Paranaíba	5	Uberlândia	18	Triângulo	10
317043	União de Minas	Triângulo Mineiro/Alto Paranaíba	5	Frutal	21	Triângulo	10
317110	Veríssimo	Triângulo Mineiro/Alto Paranaíba	5	Uberaba	22	Triângulo	10
