"year","country","eci"
2010,"ITA",1.34043502535
2010,"JOR",0.350903543518
2010,"JPN",2.10229344613
2010,"KAZ",-0.550470190311
2010,"KEN",-0.470010845072
2010,"KGZ",-0.511496742028
2010,"KHM",-1.01553061632
2010,"KOR",1.64065546178
2010,"KWT",-0.0745178980185
2010,"LAO",-0.891555516125
2010,"LBN",0.327161854738
2010,"LBY",-1.20777640171
2010,"LKA",-0.46658453729
2010,"LTU",0.642871975475
2010,"LVA",0.652095049576
2010,"MAR",-0.495105399075
2010,"MDA",0.0408616950526
2010,"MDG",-0.989041116915
2010,"MEX",0.97465591156
2010,"MKD",-0.0134035403189
2010,"MMR",-1.23840444916
2010,"MNG",-1.12073848079
2010,"MOZ",-1.33935342183
2010,"MRT",-1.62821833718
2010,"MUS",-0.297636403396
2010,"MYS",0.681478203307
2010,"NAM",-0.861698918002
2010,"NGA",-2.38460290039
2010,"NIC",-0.951469262552
2010,"NLD",1.04910829956
2010,"NOR",0.706347802455
2010,"NZL",0.256665402575
2010,"OMN",-0.199691969543
2010,"PAK",-0.597155126205
2010,"PAN",0.461146803644
2010,"PER",-0.516998733353
2010,"PHL",0.245346467989
2010,"PNG",-1.4474160438
2010,"POL",1.1174409916
2010,"PRK",0.455979322168
2010,"PRT",0.67584788934
2010,"PRY",-0.419531285835
2010,"QAT",-0.172932808218
2010,"ROU",0.7295109813
2010,"RUS",0.362985864282
2010,"SAU",0.00113060662923
2010,"SDN",-1.66598836699
2010,"SEN",-0.944605067547
2010,"SGP",1.57773413502
2010,"SLV",0.00154048176347
2010,"SRB",0.656775197519
2010,"SVK",1.35784079789
2010,"SVN",1.3811777743
2010,"SWE",1.68883371727
2010,"SYR",-0.2536914995
2010,"THA",0.770572695743
2010,"TKM",-0.618194102772
2010,"TTO",-0.405240843299
2010,"TUN",0.197863946969
2010,"TUR",0.48240411069
2010,"TZA",-1.01332620006
2010,"UKR",0.677274514247
2010,"URY",0.235204864194
2010,"USA",1.51659880632
2010,"UZB",-0.290408586833
2010,"VEN",-0.478953468383
2010,"VNM",-0.296821079628
2010,"YEM",-1.42616584866
2010,"ZAF",0.246144703469
2010,"ZMB",-0.686542070649
2010,"ZWE",-0.508176551925
2009,"AFG",0.764117264138
2009,"AGO",-1.77293063393
2009,"ALB",0.564682189892
2009,"ARE",0.165796519914
2009,"ARG",0.107103380308
2009,"AUS",-0.407100387372
2009,"AUT",1.72873828856
2009,"AZE",-1.29230663341
2009,"BEL",1.20746421458
2009,"BGD",-1.06679513241
2009,"BGR",0.353831282837
2009,"BIH",0.569635949395
2009,"BLR",0.736654468663
2009,"BOL",-0.777717178215
2009,"BRA",0.245331432574
2009,"BWA",0.492574398076
2009,"CAN",0.806725212526
2009,"CHE",1.8907598355
2009,"CHL",-0.20660123387
2009,"CHN",0.762047923988
2009,"CIV",-1.45135272396
2009,"CMR",-1.41278104678
2009,"COG",-1.71260410343
2009,"COL",0.281574967206
2009,"CRI",0.0669498385406
2009,"CUB",-0.208644576325
2009,"CZE",1.55380605172
2009,"DEU",1.8577375512
2009,"DNK",1.29636439756
2009,"DOM",-0.31501549282
2009,"DZA",-0.779444445617
2009,"ECU",-0.874593849
2009,"EGY",-0.138510324958
2009,"ESP",0.969969398038
2009,"EST",0.6433076717
2009,"ETH",-1.23045067535
2009,"FIN",1.72241687961
2009,"FRA",1.48649030229
2009,"GAB",-1.13450104668
2009,"GBR",1.62506839626
2009,"GEO",-0.262447962583
2009,"GHA",-1.22394452816
2009,"GRC",0.267714375224
2009,"GTM",-0.285452357897
2009,"HKG",0.422178095878
2009,"HND",-0.641523466238
2009,"HRV",0.846424331576
2009,"HUN",1.39546246135
2009,"IDN",-0.181814210739
2009,"IND",0.205177552207
2009,"IRL",1.39667296269
2009,"IRN",-1.01121609047
2009,"IRQ",-1.7036693985
2009,"ISR",1.09029815491
2009,"ITA",1.2944736605
2009,"JAM",-0.113445880779
2009,"JOR",0.216507886507
2009,"JPN",2.05808458626
2009,"KAZ",-0.450924115767
2009,"KEN",-0.32709683082
2009,"KHM",-1.14899176665
2009,"KOR",1.56495666461
2009,"KWT",-0.45427132563
2009,"LAO",-0.965897852107
2009,"LBN",0.313096637424
2009,"LBR",-0.774030702519
2009,"LBY",-1.19184938567
2009,"LKA",-0.514551055208
2009,"LTU",0.530485344563
2009,"LVA",0.705588856193
2009,"MAR",-0.487263148259
2009,"MDA",-0.00129658811904
2009,"MDG",-1.11169761534
2009,"MEX",0.936415550679
2009,"MKD",-0.140256766006
2009,"MMR",-1.35149893219
2009,"MNG",-0.709640198586
2009,"MOZ",-1.40303109939
2009,"MRT",-1.83818709197
2009,"MUS",-0.211622747206
2009,"MYS",0.569709320617
2009,"NAM",-0.572168105787
2009,"NGA",-2.29414267031
2009,"NIC",-0.871142411952
2009,"NLD",1.11008291172
2009,"NOR",0.735544940819
2009,"NZL",0.21397273695
2009,"OMN",-0.220397603135
2009,"PAK",-0.538252006795
2009,"PAN",0.270074984687
2009,"PER",-0.659848714402
2009,"PHL",0.0930816576814
2009,"PNG",-1.56915259852
2009,"POL",1.01729377392
2009,"PRK",0.69556389646
2009,"PRT",0.598528616298
2009,"PRY",-0.552009123625
2009,"QAT",-0.190591708746
2009,"ROU",0.62623651918
2009,"RUS",0.273983690723
2009,"SAU",0.137277230134
2009,"SDN",-1.95020117983
2009,"SGP",1.60739654595
2009,"SLV",-0.083741652864
2009,"SRB",0.694279389911
2009,"SVK",1.33732903226
2009,"SVN",1.43788966786
2009,"SWE",1.74779245466
2009,"SYR",-0.524163718587
2009,"THA",0.693710590875
2009,"TKM",-0.745445363839
2009,"TTO",-0.373063678564
2009,"TUN",0.161309692778
2009,"TUR",0.374195390957
2009,"TZA",-1.02651329467
2009,"UKR",0.580006288085
2009,"URY",0.127116001307
2009,"USA",1.49461407233
2009,"UZB",-0.383364878708
2009,"VEN",-0.277160786391
2009,"VNM",-0.385632997567
2009,"YEM",-1.43672102133
2009,"ZAF",0.288607857933
2009,"ZMB",-0.985367778808
2008,"AGO",-1.805297
2008,"ALB",0.0625361
2008,"ARE",-0.1332287
2008,"ARG",0.0797291
2008,"AUS",-0.3504386
2008,"AUT",1.8356
2008,"AZE",-1.278098
2008,"BEL",1.0917
2008,"BGD",-0.9437981
2008,"BGR",0.5791108
2008,"BIH",0.5868907
2008,"BLR",1.1241
2008,"BOL",-0.9357182
2008,"BRA",0.229891
2008,"BWA",-0.6642584
2008,"CAN",0.5659508
2008,"CHE",1.9709
2008,"CHL",-0.3514286
2008,"CHN",0.8922805
2008,"CIV",-0.9159682
2008,"CMR",-1.453798
2008,"COG",-1.768698
2008,"COL",0.179321
2008,"CRI",0.256631
2008,"CUB",-0.4679685
2008,"CZE",1.6514
2008,"DEU",2.0125
2008,"DNK",1.2777
2008,"DOM",-0.0928668
2008,"DZA",-1.242498
2008,"ECU",-0.6654984
2008,"EGY",-0.0464688
2008,"ESP",0.9335905
2008,"EST",0.7882406
2008,"ETH",-0.9364182
2008,"FIN",1.7431
2008,"FRA",1.493
2008,"GAB",-1.409598
2008,"GBR",1.584
2008,"GEO",-0.3015686
2008,"GHA",-0.9194981
2008,"GIN",-1.501798
2008,"GRC",0.194861
2008,"GTM",-0.1317787
2008,"HKG",1.0277
2008,"HND",-0.5585985
2008,"HRV",0.9906605
2008,"HUN",1.4502
2008,"IDN",-0.0322018
2008,"IND",0.230391
2008,"IRL",1.2459
2008,"IRN",-1.277998
2008,"ISR",1.1731
2008,"ITA",1.3208
2008,"JAM",-0.3823086
2008,"JOR",0.305741
2008,"JPN",2.3661
2008,"KAZ",-0.6442184
2008,"KEN",-0.3087186
2008,"KGZ",-0.2689486
2008,"KHM",-0.7399983
2008,"KOR",1.4915
2008,"KWT",-1.214898
2008,"LAO",-0.9338781
2008,"LBN",0.3861409
2008,"LBR",-1.169398
2008,"LBY",-1.332498
2008,"LKA",-0.3020286
2008,"LTU",0.6762407
2008,"LVA",0.5836007
2008,"MAR",-0.4424485
2008,"MDA",0.243531
2008,"MDG",-0.6353384
2008,"MEX",1.1561
2008,"MKD",-0.0489198
2008,"MLI",-1.143398
2008,"MNG",-1.223798
2008,"MOZ",-1.129298
2008,"MRT",-1.960798
2008,"MUS",-0.3452986
2008,"MWI",-1.071798
2008,"MYS",0.7595006
2008,"NAM",-0.3047086
2008,"NGA",-1.449098
2008,"NIC",-0.7106183
2008,"NLD",1.0485
2008,"NOR",0.7827406
2008,"NZL",0.269411
2008,"OMN",-0.6395784
2008,"PAK",-0.4363886
2008,"PAN",0.8294906
2008,"PER",-0.6246184
2008,"PHL",0.0063412
2008,"PNG",-1.639798
2008,"POL",1.025501
2008,"PRT",0.6881307
2008,"PRY",-0.5151384
2008,"QAT",-0.4514385
2008,"ROU",0.9349405
2008,"RUS",0.3141809
2008,"SAU",-0.2139987
2008,"SDN",-1.811398
2008,"SEN",-0.3146486
2008,"SGP",1.6732
2008,"SLV",0.0005425
2008,"SRB",0.6348307
2008,"SVK",1.3929
2008,"SVN",1.5428
2008,"SWE",1.8912
2008,"SYR",-0.3235486
2008,"THA",0.8136506
2008,"TJK",-1.105598
2008,"TKM",-1.256798
2008,"TTO",-0.3354186
2008,"TUN",0.273881
2008,"TUR",0.4190609
2008,"TZA",-0.6783583
2008,"UGA",-0.5278285
2008,"UKR",0.5503308
2008,"URY",0.0846501
2008,"USA",1.4671
2008,"UZB",-0.7016183
2008,"VEN",-1.141998
2008,"VNM",-0.2108787
2008,"YEM",-1.079798
2008,"ZAF",0.1094211
2008,"ZMB",-0.9782382
2008,"ZWE",-0.3580586
2007,"AGO",-1.694896
2007,"ALB",-0.2864695
2007,"ARE",-0.3305494
2007,"ARG",0.0406665
2007,"AUS",-0.2542296
2007,"AUT",1.853194
2007,"AZE",-0.8135681
2007,"BEL",1.172596
2007,"BGD",-0.7785182
2007,"BGR",0.5661681
2007,"BIH",0.6391179
2007,"BLR",1.124097
2007,"BOL",-0.9216578
2007,"BRA",0.5225182
2007,"BWA",-0.7092984
2007,"CAN",0.6399079
2007,"CHE",1.981594
2007,"CHL",-0.1769799
2007,"CHN",0.7915675
2007,"CIV",-0.9720277
2007,"CMR",-1.413896
2007,"COG",-1.846095
2007,"COL",0.1237493
2007,"CRI",0.2004391
2007,"CUB",-0.5750487
2007,"CZE",1.649295
2007,"DEU",2.051894
2007,"DNK",1.214096
2007,"DOM",-0.0801741
2007,"DZA",-1.694696
2007,"ECU",-0.876178
2007,"EGY",-0.4218992
2007,"ESP",0.9910269
2007,"EST",0.8503573
2007,"ETH",-1.055598
2007,"FIN",1.963794
2007,"FRA",1.405096
2007,"GAB",-1.349797
2007,"GBR",1.639795
2007,"GEO",-0.2293897
2007,"GHA",-0.8479381
2007,"GIN",-1.520796
2007,"GRC",0.242029
2007,"GTM",-0.12565
2007,"HKG",0.8380574
2007,"HND",-0.2923196
2007,"HRV",0.9338071
2007,"HUN",1.494996
2007,"IDN",-0.0968101
2007,"IND",0.1736292
2007,"IRL",1.179296
2007,"IRN",-0.8321781
2007,"ISR",1.119097
2007,"ITA",1.381996
2007,"JAM",-0.5838287
2007,"JOR",0.2008491
2007,"JPN",2.338793
2007,"KAZ",-0.5204089
2007,"KEN",-0.497309
2007,"KGZ",-0.1078101
2007,"KHM",-1.022097
2007,"KOR",1.493196
2007,"KWT",-0.1619299
2007,"LAO",-0.8308481
2007,"LBN",0.4368885
2007,"LBR",-1.100397
2007,"LBY",-1.453996
